Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_027923505.1	Mpse_1.0	Mayamaea pseudoterrestris		NIES-4280					Annotation submitted by National Institute for Environmental Studies	Contig	2022-12-13	BROI01	41
GCA_023758015.1	ASM2375801v1	Alternaria viburni		BMP 2772					Annotation submitted by Cornell University	Scaffold	2022-06-17	JAFVLU01	188
GCA_023757995.1	ASM2375799v1	Alternaria metachromatica		BMP 0045					Annotation submitted by Cornell University	Scaffold	2022-06-17	JAFVLY01	189
GCA_000814975.1	MAN_1.0	Metarhizium hybridum		ARSEF 549					Annotation submitted by Shanghai Insititutes for Biological Sciences, CAS	Scaffold	2015-01-06	AZNF01	74
GCA_023758085.1	ASM2375808v1	Alternaria hordeiaustralica		BMP 2776					Annotation submitted by Cornell University	Scaffold	2022-06-17	JAFVLR01	188
GCA_035927105.1	ASM3592710v1	Exophiala bonariae		CCFEE 5792					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	Contig	2024-01-22	JAVRRD01	178
GCA_000835435.1	Capr_semi_CBS27337_V1	Phialophora macrospora		CBS 273.37					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYCC01	13
GCA_023757985.1	ASM2375798v1	Alternaria ethzedia		BMP 0044					Annotation submitted by Cornell University	Scaffold	2022-06-17	JAFVLZ01	579
GCA_002077065.1	ASM207706v1	Cryoendolithus antarcticus		CCFEE 5527					Annotation submitted by University of California, Riverside	Scaffold	2017-04-03	NAJO01	260
GCA_030039215.1	DBVPG_5303	Naganishia onofrii		DBVPG 5303					Annotation submitted by Jet Propulsion Laboratory, California Institute of Technology	Contig	2023-05-19	JASBWV01	68
GCA_001773325.1	ASM177332v1	Penicillium arizonense		CBS 141311					Annotation submitted by Chalmers University of Technology	Scaffold	2016-10-18	LXJU01	396
GCA_021272945.2	ASM2127294v2	Cytospora paraplurivora		FDS-564					Annotation submitted by Agriculture and Agri-Food Canada	Contig	2024-04-12	JAJSPL02	187
GCA_040144335.1	ASM4014433v1	Elliptochloris bilobata		SAG 245.80					Annotation submitted by Senckenberg	Scaffold	2024-06-12	JALJOU01	145
GCA_035927965.1	ASM3592796v1	Recurvomyces mirabilis		CCFEE 5264					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	Scaffold	2024-01-22	JAVRRS01	541
GCA_051819865.1	Triafa1	Trichoderma afarasin		CBS 130755					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-08-05	JBPBCV01	109
GCA_020536065.1	ASM2053606v1	Ogataea philodendri		CBS6075					Annotation submitted by Barcelona Supercomputing Center	Scaffold	2021-10-20	JAEUBE01	539
GCA_051820595.1	Tribar1	Trichoderma barbatum		CBS 125733					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-08-05	JBPBCR01	283
GCA_051820515.1	Triaus1	Trichoderma austrokoningii		CBS 119092					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-08-05	JBPBCP01	298
GCA_050403365.1	S_koalae_JCM15063v1	Sporobolomyces koalae		JCM15063					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABVK01	157
GCA_001646965.1	ASM164696v1	Fonsecaea nubica		CBS 269.64					Annotation submitted by Federal University of Parana	Scaffold	2016-05-18	LVCJ01	258
GCA_024291825.1	ASM2429182v1	Alternaria postmessia		BMP 2775					Annotation submitted by Cornell University	Scaffold	2022-07-15	JAFVLS01	708
GCA_050403485.1	S_salmoneus_JCM6883v1	Sporobolomyces salmoneus		JCM6883					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABVQ01	264
GCA_051819885.1	Triaet1	Trichoderma aethiopicum		CBS 130628					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-08-05	JBPBCW01	160
GCA_051820575.1	Trichl1	Trichoderma chlorosporum		CBS 114231					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-08-05	JBPBCQ01	131
GCA_001662655.1	ASM166265v1	Pseudogymnoascus verrucosus		UAMH 10579					Annotation submitted by US Forest Service	Scaffold	2016-06-24	LAJO01	151
GCA_900006135.1	D_tyrocola_PRJEB9675	Debaryomyces tyrocola					CLIB540		Annotation submitted by Genoscope CEA	Scaffold	2023-06-12	CXWN01	42
GCA_040144405.1	ASM4014440v1	Symbiochloris irregularis		SAG 2036					Annotation submitted by Senckenberg	Scaffold	2024-06-12	JALJOQ01	340
GCA_021653875.1	ASM2165387v1	Nematocida major		JUm2507					Annotation submitted by University of Toronto	Scaffold	2022-01-27	JAKFRD01	111
GCA_004154925.1	ASM415492v1	Monosporascus cannonballus		CBS 609.92					Annotation submitted by University of New Mexico	Scaffold	2019-02-11	QJNS01	753
GCA_028584115.1	ASM2858411v1	Stagonosporopsis vannaccii		LFN0148					Annotation submitted by University of Salamanca	Scaffold	2023-02-10	VWXS01	483
GCA_050403025.1	Rs_odoratus_JCM11641v1	Rhodosporidiobolus poonsookiae		JCM10207					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABUT01	374
GCA_024364755.1	ASM2436475v1	Pseudohyphozyma bogoriensis		ATCC 18809					Annotation submitted by USDA/ARS/ERRC/Sustainable Biofuels and Co-products Research	Contig	2022-07-21	JALBUQ01	299
GCA_003946995.1	NRRL62579.SPAdes	Fusarium oligoseptatum		NRRL62579					Annotation submitted by University of California, Riverside	Scaffold	2018-12-14	NKCK01	1168
GCA_015844325.1	ASM1584432v1	Aspergillus nanangensis		MST-FP2251					Annotation submitted by The University of Western Australia	Scaffold	2020-12-08	VCAU01	438
GCA_033297225.1	Dipgro1	Diplogelasinospora grovesii		CBS 340.73					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JAUDZL01	564
GCA_013396195.1	ASM1339619v1	Fusarium tjaetaba		NRRL 66243					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-07-10	JAAQRI01	866
GCA_030512305.1	Cersam1	Cercophora samala		CBS 307.81					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-07-20	JAULSY01	841
GCA_015251385.1	ASM1525138v1	Aureobasidium aubasidani		CBS 100524					Annotation submitted by TU Wien	Scaffold	2020-11-06	JADGIM01	82
GCA_050402965.1	Rs_lusitaniae_JCM8547v1	Rhodosporidiobolus lusitaniae		JCM8547					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABUP01	510
GCA_027602005.1	ASM2760200v1	Geranomyces michiganensis		JEL0563					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-09	JADGJO01	282
GCA_002573605.1	Poly_hyst_7299_V1	Polytolypa hystricis UAMH7299		UAMH7299					Annotation submitted by Broad Institute	Scaffold	2017-10-17	PDNA01	641
GCA_027576975.1	UCR_CoumBCRC34882_1.0	Coemansia umbellata		BCRC 34882					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBQD01	478
GCA_041956725.1	Thiau1	Thermocarpiscus australiensis		ATCC 28236					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZBRW01	441
GCA_012932015.1	ASM1293201v1	Fusarium acutatum		NRRL 13308					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-04-29	JAADJF01	982
GCA_004918325.1	ASM491832v1	Wallemia hederae		EXF-5753					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPNW01	676
GCA_033296725.1	Corno1	Corynascus novoguineensis		CBS 359.72					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASJUH01	444
GCA_008704595.1	ASM870459v1	Diutina rugosa		CBS 613					Annotation submitted by Centre for Genomic Regulation	Scaffold	2019-09-26	SWFT01	169
GCA_013396175.1	ASM1339617v1	Fusarium denticulatum		NRRL 25311					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-07-10	JAAOAK01	909
GCA_013396205.1	ASM1339620v1	Fusarium mundagurra		NRRL 66235					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-07-10	JAAOAN01	1616
GCA_050402985.1	Rs_microsporus_JCM6882v1	Rhodosporidiobolus microsporus		JCM6882					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABUQ01	608
GCA_004931855.1	ASM493185v1	Pichia inconspicua		CBS 180					Annotation submitted by Centre for Genomic Regulation	Scaffold	2019-04-29	SELW01	686
GCA_051819845.1	Tricec1	Trichoderma ceciliae		CBS 130010					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-08-05	JBPBCU01	531
GCA_004154915.1	ASM415491v1	Monosporascus ibericus		CBS 110550					Annotation submitted by University of New Mexico	Scaffold	2019-02-11	QJNU01	1612
GCA_024244105.1	nmin_JUm1510	Nematocida minor		JUm1510					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPNB01	138
GCA_051820635.1	Tricom1	Trichoderma compactum		CBS 121218					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-08-05	JBPBCS01	686
GCA_013396025.1	ASM1339602v1	Fusarium phyllophilum		NRRL 13617					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-07-10	JAAOAQ01	1628
GCA_012932025.1	ASM1293202v1	Fusarium austroafricanum		NRRL 53441					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-04-29	JAADJG01	1963
GCA_013781345.1	ASM1378134v1	Fusarium coicis		NRRL 66233					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-07-27	JAAOAJ01	1267
GCA_027579435.1	Candolleomyces_eurysporus_reassembly_enz	Candolleomyces eurysporus		VTCC 930004					Annotation submitted by TU Dresden - IHI Zittau	Scaffold	2023-01-06	JANBPK01	1966
GCA_001696595.2	ASM169659v2	Aspergillus hancockii		FRR 3425					Annotation submitted by CSIRO	Scaffold	2020-09-18	MBFL02	1226
GCA_013396165.1	ASM1339616v1	Fusarium globosum		NRRL 26131					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-07-10	JAAQPF01	1695
GCA_033296705.1	Chale1	Chaetomidium leptoderma		CBS 538.74					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASJSD01	763
GCA_027575805.1	UCR_MyscNBRC100468_1.0	Mycoemilia scoparia		NBRC 100468					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBPU01	922
GCA_013395995.1	ASM1339599v1	Fusarium pseudoanthophilum		NRRL 25211					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-07-10	JAAOAR01	1816
GCA_018360045.1	CSU_CCC1504_v1	Claviceps capensis		CCC 1504					Annotation submitted by None	Contig	2021-05-14	SRPN01	1136
GCA_018360065.1	CSU_CCC1485_v1	Claviceps pazoutovae		CCC 1485					Annotation submitted by None	Contig	2021-05-14	SRPO01	1144
GCA_004366825.1	ASM436682v1	Colletotrichum spinosum		CBS 515.97					Annotation submitted by RIKEN	Scaffold	2019-03-22	QAPG01	10715
GCA_013266185.1	ASM1326618v1	Fusarium sarcochroum		NRRL 20472					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-06-03	JABEXW01	1849
GCA_001630335.1	Fibsp1	Athelia psychrophila		CBS 109695					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-04-25	LNCK01	1914
GCA_050403285.1	S_blumeae_JCM10212v1	Sporobolomyces blumeae		JCM10212					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABVG01	814
GCA_050403085.1	Rt_araucariae_JCM3770v1	Rhodotorula araucariae		JCM3770					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABUV01	815
GCA_050403505.1	S_salmonicolor_JCM1841v1	Sporobolomyces salmonicolor		JCM1841					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Contig	2024-05-01	BAABVR01	785
GCA_040144375.1	ASM4014437v1	Apatococcus fuscideae		SAG 2523					Annotation submitted by Senckenberg	Scaffold	2024-06-12	JALJOV01	2319
GCA_018360055.1	CSU_CCC1483_v1	Claviceps monticola		CCC 1483					Annotation submitted by None	Contig	2021-05-14	SRPP01	1304
GCA_003589665.1	phiScl 1.0	Aspergillus sclerotialis		CBS 366.77					Annotation submitted by University of Natural Resources and Life Sciences, Vienna	Contig	2018-09-21	MVGC01	7484
GCA_027575765.1	UCR_TipaRSA861_1.0	Tieghemiomyces parasiticus		RSA 861					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBPT01	2367
GCA_002794465.1	KSL3_v6	Paramicrosporidium saccamoebae		KSL3					Annotation submitted by University of Michigan	Scaffold	2017-11-21	MTSL01	221
GCA_012184295.1	ASM1218429v1	Dactylella cylindrospora		CBS325.70					Annotation submitted by Laboratory for Conservation and Utilization of Bio-Resources and Key Laboratory for Microbial Diversity in Southwest China, Ministry of Education	Scaffold	2020-04-08	LDUD01	140
GCA_027579115.1	UCR_CojaNBRC105414_1.0	Coemansia javaensis		NBRC 105414					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUL01	419
GCA_033296695.1	Stalo1	Staphylotrichum tortipilum		CBS 103.79					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-10-26	JASJSB01	1523
GCA_041956515.1	Thehi1	Thermothelomyces hinnuleus		ATCC 52474					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGUK01	307
GCA_041956445.1	Themy1	Thermothelomyces myriococcoides		CBS 389.93					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGUJ01	168
GCA_018873745.1	NZ4037v1	Phytophthora aleatoria					NZFS 4037		Annotation submitted by University of Exeter	Scaffold	2021-06-14	JAENGY01	3750
GCA_041956415.1	Chaol1	Chaetomium olivicolor		CBS 102434					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JBBEXI01	1821
GCA_005059865.1	ASM505986v1	Friedmanniomyces simplex		CCFEE 5184					Annotation submitted by University of California, Riverside	Scaffold	2019-05-02	NAJQ01	2988
GCA_030267785.1	ASM3026778v1	Phytophthora fragariaefolia		NBRC 109709					Annotation submitted by Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	Contig	2023-05-12	BSXT01	19898
GCA_024243835.1	ebre_JUm2551	Enteropsectra breve		JUm2551					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMN01	645
GCA_041956715.1	Theth1	Thermoascus thermophilus		ATCC 26413					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGRP01	1616
GCA_005059845.1	ASM505984v1	Cryomyces minteri		CCFEE 5187					Annotation submitted by University of California, Riverside	Scaffold	2019-05-02	NAJN01	4502
GCA_001660665.1	Emmo_afri_EA111	Emergomyces africanus		CBS 136260					Annotation submitted by Broad Institute	Scaffold	2016-06-09	LGUA01	4444
GCA_041956425.1	Humhy1	Humicola hyalothermophila		CBS 454.80					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JBBEXK01	2561
GCA_027596845.1	ASM2759684v1	Quaeritorhiza haematococci		JEL0916					Annotation submitted by University of Michigan	Scaffold	2023-01-09	JADGJF01	7824
GCA_015679605.1	UCR_MepigNRRL5512_1.0	Podila epigama		NRRL 5512					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-11-24	JAAAVE01	3903
GCA_024243955.1	peph_JUm1396	Pancytospora epiphaga		JUm1396					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMT01	961
GCA_027595825.1	UCR_CbifNCRC34381_1.0	Coemansia biformis		BCRC 34381					Annotation submitted by University of Florida	Contig	2023-01-06	JANBOI01	4390
GCA_027579315.1	UCR_CoheBCRC34780_1.0	Coemansia helicoidea		BCRC 34780					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUN01	4295
GCA_027478575.1	UCR_SaspiralisRSA2271_1.0	Spiromyces aspiralis		RSA 2271					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-12-28	JAMZIH01	10284
GCA_004153795.2	AHAU_CSS_2	Camellia sinensis var. sinensis			Shuchazao				Annotation submitted by Anhui Agricultural University	Scaffold	2019-04-21	SDRB02	13892
GCA_000280675.1	ASM28067v1	Beauveria bassiana ARSEF 2860		ARSEF 2860					Annotation submitted by Zhejiang University, China	Scaffold	2012-08-14	ADAH01	235
GCA_000209065.1	ASM20906v1	Trypanosoma cruzi		CL Brener					Annotation submitted by Trypanosoma cruzi consortium	Scaffold	2005-08-02	AAHK01	29495
GCA_000189635.1	JCVI-TTA1-2.2	Tetrahymena thermophila SB210		SB210					Annotation submitted by TIGR	Scaffold	2009-03-23	AAGF03	1158
GCA_016745375.1	EPA_FHM_2.0	Pimephales promelas		EPAAWBERC					Annotation submitted by US EPA	Scaffold	2021-01-24	WIOS01	910
GCA_001642055.1	Altal1	Alternaria alternata		SRC1lrK2f					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-05-11	LXPP01	79
GCA_023522795.1	NDSU_Fsol_1.0	Fusarium solani		SB1					Annotation submitted by North Dakota State University	Contig	2022-05-23	JAMBZA01	19
GCA_000320785.2	RHOziaDV1.0	Rhodotorula toruloides NP11		NP11					Annotation submitted by Dalian Institute of Chemical Physics	Scaffold	2013-04-01	ALAU01	94
GCA_000208925.2	JCVI-ESG2-1.0	Entamoeba histolytica HM-1:IMSS		HM-1:IMSS					Annotation submitted by J. Craig Venter Institute (TIGR)	Scaffold	2008-03-12	AAFB02	1529
GCA_014466165.1	ASM1446616v1	Pleurotus ostreatus		PC9					Annotation submitted by Academia Sinica	Contig	2020-09-03	JACETU01	16
GCA_000146945.2	ASM14694v2	Sclerotinia sclerotiorum 1980 UF-70		1980					Annotation submitted by Broad Institute	Scaffold	2015-07-16	AAGT01	36
GCA_011800055.1	NFU_CgLc1_1.0	Colletotrichum gloeosporioides		Lc1					Annotation submitted by Nanjing Forestry University	Scaffold	2020-03-31	WVTB01	128
GCA_000149615.1	ASM14961v1	Aspergillus terreus NIH2624		NIH2624					Annotation submitted by Broad Institute	Scaffold	2006-09-08	AAJN01	26
GCA_023343905.1	cvul	Chlorella vulgaris					211/11P		Annotation submitted by University Of Verona	Scaffold	2022-05-16	SIDB01	43
GCA_000182765.2	ASM18276v2	Candida parapsilosis		CDC317					Annotation submitted by Wellcome Trust Sanger Institute	Contig	2011-10-26		8
GCA_021015755.1	Lenedo1	Lentinula edodes		Le(Bin) 0899 ss11					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-30	JABWDW01	128
GCA_000225605.1	CmilitarisCM01_v01	Cordyceps militaris CM01		CM01					Annotation submitted by Shanghai Institutes for Biological Sciences (SIBS), Chinese Academy of Sciences	Scaffold	2011-09-12	AEVU01	32
GCA_000721785.1	Aureobasidium pullulans var. pullulans EXF-150, assembly version 1.0	Aureobasidium pullulans EXF-150		EXF-150					Annotation submitted by DOE Joint Genome Institute	Scaffold	2014-07-08	AYEO01	186
GCA_903112645.1	pruArmRojPasHapCUR	Prunus armeniaca			Rojo Pasion		pruArmRojPasFocal		Annotation submitted by Max Planck Institute Plant Breeding	Contig	2020-07-08	CAEKDK01	93
GCA_030144725.1	ASM3014472v1	Haematococcus lacustris					redball_algae_cb2023		Annotation submitted by BGI-SZ	Scaffold	2023-06-01	JASKMD01	820
GCA_002284615.2	Dunsal1 v. 2	Dunaliella salina		CCAP 19/18					Annotation submitted by JGI	Scaffold	2020-07-10	NSFN02	5512
GCA_000002995.5	B_malayi-4.0	Brugia malayi		FR3					Annotation submitted by WormBase group, EBI	Scaffold	2019-06-02	CAAKNF01	196
GCA_904066235.2	BXYJv5	Bursaphelenchus xylophilus					Ka4C1		Annotation submitted by University of Miyazaki	Scaffold	2021-08-20	CAJFCV02	11
GCA_000149755.2	P.sojae V3.0	Phytophthora sojae		P6497					Annotation submitted by US DOE Joint Genome Institute, USA, Walnut Creek	Scaffold	2011-10-03	AAQY02	82
GCA_028827035.1	ASM2882703v1	Penicillium chrysogenum		IBT 35668					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPQKU01	4
GCA_000151425.1	ASM15142v1	Trichophyton rubrum CBS 118892		CBS 118892					Annotation submitted by Broad Institute	Scaffold	2009-11-30	ACPH01	35
